Titre;genre1;genre2;réalisateur_1;actor_1;actor 2;actor 3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real awards;first actor awards;Second actor awards;length_corrected;day;month;year;nomi;awards
Jack Mimoun et les secrets de Val Verde;Aventure;Comédie;Malik Bentalha;Malik Bentalha;Joséphine Japy;Jérôme Commandeur;3,3;soso;Malik Bentalha;France;Pathé;Français;0.0;0.0;3.0;102;12;octobre;2022;0;0
Jackass 4.5;Comédie;;Jeff Tremaine;Johnny Knoxville;Steve-O;Chris Pontius;;good;;U.S.A.;;Anglais;0.0;1.0;0.0;90;20;mai;2022;0;0
jackass forever;Comédie;;Jeff Tremaine;Johnny Knoxville;Steve-O;Bam Margera;;soso;;U.S.A.;;Anglais;0.0;1.0;0.0;96;1;avril;2022;0;0
Jacky Caillou;Drame;Epouvante-horreur;Lucas Delangle;Thomas Parigi;Edwige Blondiau;Lou Lampros;3,8;soso;Lucas Delangle;France;Arizona Distribution;Français;0.0;0.0;0.0;92;2;novembre;2022;1;0
James;Action;Drame;Chethan Kumar;Puneeth Rajkumar;Priya Anand;;;good;;Inde;Friday Entertainment;Autre;0.0;0.0;0.0;135;17;mars;2022;0;0
Jana Gana Mana;Action;Drame;Dijo Jose Antony;Prithviraj Sukumaran;Suraaj Venjarammoodu;Mamta Mohandas;;soso;;Inde;Friday Entertainment;Autre;0.0;0.0;0.0;130;28;avril;2022;0;0
Jane;Drame;Thriller;Sabrina Jaglom;Madelaine Petsch;Nina Bloomgarden;Melissa Leo;;soso;Sabrina Jaglom;U.S.A.;;Anglais;0.0;0.0;0.0;80;13;mars;2023;0;0
Jaula;Epouvante-horreur;Thriller;Ignacio Tatay;Elena Anaya;Pablo Molinero;Eva Tennear;;soso;Isabel Peña;Espagne;;Espagnol;0.0;1.0;0.0;106;24;octobre;2022;0;0
Jeepers Creepers Reborn;Epouvante-horreur;;Timo Vuorensola;Sydney Craven;Imran Adams;Jarreau Benjamin;;bad;Sean-Michael Argo;U.S.A.;;Anglais;3.0;0.0;0.0;88;17;novembre;2022;0;0
Jersey;Action;Drame;Gowtam Tinnanuri;Shahid Kapoor;Mrunal Thakur;Pankaj Kapoor;;good;Gowtam Tinnanuri;Inde;Friday Entertainment;Hindi;0.0;0.0;0.0;166;22;avril;2022;0;0
Jerry and Marge Go Large;Comédie;Drame;David Frankel;Bryan Cranston;Annette Bening;Michael McKean;;good;Brad Copeland;U.S.A.;;Anglais;1.0;8.0;3.0;90;11;février;2023;0;0
Jewel;Drame;;Adze Ugah;Michelle Botes;Connie Chiume;Desmond Dube;;bad;Adze Ugah;Afrique du Sud;;Anglais;0.0;0.0;0.0;80;8;juillet;2022;0;0
Jogi : Les flammes de la haine;Drame;;Ali Abbas Zafar;Diljit Dosanjh;Amyra Dastur;Mohammed Zeeshan Ayyub;;good;Ali Abbas Zafar;Inde;;Hindi;0.0;0.0;0.0;116;16;septembre;2022;0;0
Johnny Depp contre Amber Heard : du coup de foudre au scandale;Biopic;Drame;Sara Lohman;Mark Hapka;Megan Davis;Melissa Marty;;soso;Guy Nicolucci;U.S.A.;TF1;Anglais;0.0;0.0;0.0;84;16;mai;2023;0;0
Jour de gloire;Drame;;Jeanne Frenkel;Félix Moati;Julien Campani;Julia Faure;;soso;Jeanne Frenkel;France;Arte;Français;0.0;2.0;0.0;65;24;avril;2022;0;0
