Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
La Proie;3 décembre 2021; 1h 39min ;Policier;Thriller;NA;Randall Emmett;NA;Emile Hirsch;Megan Fox;Bruce Willis;NA;1,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=280641.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=43073.html;Alan Horsnail;U.S.A.;NA;NA;2            ;15 M $;Anglais;NA;0;4;1
La Proie d'une ombre;15 septembre 2021; 1h 48min ;Fantastique;Epouvante-horreur;Thriller;David Bruckner;NA;Rebecca Hall;Sarah Goldberg;Vondie Curtis-Hall;2,7;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=271546.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=192903.html;Ben Collins;U.S.A.;NA;The Walt Disney Company France;5            ;-;Anglais;62 140 entrées;1;3;1
La Prophétie;25 octobre 2021; 1h 08min ;Drame;Fantastique;NA;Mickaël Emond;NA;Julie Pires;Mickaël Emond;Marion Boitout;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=292847.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=934174.html;Mickaël Emond;France;NA;NA;0;1200 euros;Français;NA;NA;NA;NA
La recette d'un Noël magique;2 novembre 2021; 1h 30min ;Comédie;Drame;Romance;Elizabeth Snoderly;NA;Alex Rinehart;Rib Hillis;Lexi Giovagnoli;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=297867.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=642372.html;Lisa Hepner;U.S.A.;NA;NA;0;-;Anglais;NA;NA;NA;0
La Reine de Noël;22 décembre 2021; 1h 30min ;Romance;NA;NA;Michelle Ouellet;NA;Brittany Bristow;Olivier Renaud;Arcade Riley;NA;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=299130.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=691881.html;Timothy Kuryak;U.S.A.;NA;M6;0;-;Anglais;NA;NA;0;NA
La Revanche des Crevettes Pailletées;13 avril 2022; 1h 53min ;Comédie dramatique;NA;NA;Cédric Le Gallo;Maxime Govare;Nicolas Gob;Michaël Abiteboul;Bilal El Atreby;3,3;3,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=286355.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=578738.html;Cédric Le Gallo;France;NA;Universal Pictures International France;3            ;6,2 M€;Français;140 385 entrées;NA;2;0
La Roya;29 mars 2023; 1h 23min ;Drame;NA;NA;Juan Sebastián Mesa;NA;Juan Daniel Ortiz Hernandez;Paula Andrea Cano;Laura Gutiérrez Ardila;NA;2,8;https://www.allocine.fr/film/fichefilm_gen_cfilm=295557.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=782085.html;Juan Sebastián Mesa;Colombie;France;Dublin Films;0;-;Espagnol;NA;NA;NA;NA
La Ruche;1 juin 2022; 1h 24min ;Drame;NA;NA;Blerta Basholli;NA;Yllka Gashi;Cun Lajci;Aurita Agushi;3,4;3,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=288924.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=838094.html;Blerta Basholli;Kosovo;Suisse;ASC Distribution;0;-;Albanian;4 279 entrées;NA;NA;0
La Traque;15 mars 2021; 1h 30min ;Policier;Drame;Judiciaire;Yves Rénier;NA;François-Xavier Demaison;Mélanie Bernier;Isabelle Gélinas;3,3;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=272952.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=20602.html;Jean-Luc Estebe;France;NA;TF1;0;-;Français;NA;0;3;4
La Traversée;29 septembre 2021; 1h 24min ;Animation;Drame;NA;Florence Miailhe;NA;Emilie Lan Dürr;Florence Miailhe;Maxime Gémin;4,2;3,9;https://www.allocine.fr/film/fichefilm_gen_cfilm=257861.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=64582.html;Florence Miailhe;France;NA;Gebeka Films;2         5            ;-;Français;20 596 entrées;2;NA;2
La Traversée;29 juin 2022; 1h 45min ;Comédie;NA;NA;Varante Soudjian;NA;Alban Ivanov;Lucien Jean-Baptiste;Audrey Pirault;3,0;3,3;https://www.allocine.fr/film/fichefilm_gen_cfilm=297448.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=617096.html;Varante Soudjian;France;NA;Metropolitan FilmExport;0;-;Français;389 232 entrées;NA;1;2
La tricoteuse amoureuse;22 avril 2021; 1h 30min ;Comédie;Romance;NA;Peter Burger;NA;Anna Hutchison;Simon Arblaster;Olivia Tennet;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=291843.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=167184.html;Becca Johanson;Canada;Nouvelle-Zélande;NA;0;-;Anglais, Langue aborigène;NA;0;0;0
La Vengeance 3;17 septembre 2021; 1h 39min ;Comédie dramatique;NA;NA;Morsay;NA;NA;NA;NA;NA;2,6;https://www.allocine.fr/film/fichefilm_gen_cfilm=296496.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=560741.html;Morsay;France;NA;NA;0;-;Français;NA;NA;0;0
