Titre;genre1;genre2;réalisateur_1;actor_1;actor_2;actor_3;note_presse;note_spectators;Scenar;nationality_1;distributor;language;real_awards;first_actor_awards;second_actor_awards;length_corrected;day;month;year;note_spectator_word;nomi
Together;Comédie;Drame;Stephen Daldry;James McAvoy;Sharon Horgan;Samuel Logan;;2.8;Dennis Kelly;Grande-Bretagne;;Anglais;25.0;2.0;1.0;91;28;mars;2022;soso;0
Toi et moi à Noël;Romance;;Jessica Harmon;Natalie Dreyfuss;Harrison Coe;Bethany Brown;;2.8;Ansley Gordon;U.S.A.;M6;Anglais;0.0;0.0;0.0;85;28;décembre;2021;soso;0
Toi, lui, elle et nous;Comédie dramatique;Romance;Florian Gottschick;Nilam Farooq;Paula Kalenberg;Jonas Nay;;2.4;Florian Gottschick;Allemagne;;Allemand;0.0;0.0;0.0;88;15;octobre;2021;soso;0
Tokyo Shaking;Drame;;Olivier Peyon;Karin Viard;Stéphane Bak;Yumi Narita;3.2;2.9;Olivier Peyon;France;Wild Bunch Distribution;Français;3.0;11.0;0.0;101;23;juin;2021;soso;0
Tollbooth;Comédie;Policier;Ryan Andrew Hooper;Michael Smiley;Annes Elwy;Iwan Rheon;;2.5;Matt Redd;Grande-Bretagne;;Anglais;0.0;1.0;0.0;83;22;mai;2022;soso;0
Tom;Drame;;Fabienne Berthaud;Tanguy Mercier;Nadia Tereszkiewicz;Félix Maritaud;2.9;3.2;Fabienne Berthaud;France;Haut et Court;Français;2.0;0.0;0.0;87;11;mai;2022;good;0
Tom et Jerry;Animation;Comédie;Tim Story;Chloë Grace Moretz;Frank Welker;Michael Peña;2.7;2.3;Katie Silberman;U.S.A.;Warner Bros. France;Anglais;2.0;2.0;0.0;101;19;mai;2021;soso;0
Tom Medina;Drame;;Tony Gatlif;David Murgia;Slimane Dazi;Karoline Rose Sun;3.1;2.9;Tony Gatlif;France;Les Films du Losange;Français;4.0;1.0;2.0;100;4;août;2021;soso;0
Toubab – Pour le meilleur et pour le pire;Comédie;;Florian Dietrich;Farba Dieng;Julius Nitschkoff;Seyneb Saleh;;3.3;Florian Dietrich;Allemagne;Arte;Allemand;0.0;0.0;0.0;97;18;mai;2023;good;0
Touchées;Comédie dramatique;;Alexandra Lamy;Mélanie Doutey;Claudia Tagbo;Chloé Jouannet;;4.0;Solen Roy-Pagenault;France;TF1;Français;3.0;1.0;0.0;90;22;septembre;2022;good;0
Tous en scène 2;Animation;Famille;Garth Jennings;Matthew McConaughey;Jenifer Bartoli;Reese Witherspoon;3.5;4.1;Garth Jennings;U.S.A.;Universal Pictures International France;Anglais;3.0;8.0;0.0;110;22;décembre;2021;excellent;0
