Titre;date_sortie;duree;genre1;genre2;genre3;réalisateur_1;réalisateur_2;actor_1;actor 2;actor 3;note_presse;note spectators;link;link realisator;Scenar;nationality 1;nationality 2;distributor;nominations;budget;language;box-office;real awards;first actor awards;Second actor awards
Chilly le Chien Catastrophe;13 décembre 2012; 1h 32min ;Comédie;Famille;NA;Gregory Poppen;NA;Tom Arnold;C. Thomas Howell;Brooke Langton;NA;2,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=215711.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=98496.html;Gregory Poppen;U.S.A.;NA;NA;0;-;Anglais;NA;1;0;0
Chimera;31 octobre 2022; 1h 30min ;Comédie;Romance;NA;Ettore Maria Fizzarotti;NA;Gianni Morandi;Laura Efrikian;Nino Taranto;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=37646.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=85100.html;NA;Italie;NA;NA;0;-;Italien;NA;0;0;0
Chimère;10 septembre 2020; 1h 34min ;Drame;NA;NA;Claire Devers;NA;Béatrice Dalle;Wadeck Stanczak;Francis Frappat;NA;2,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=53599.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=5887.html;Claire Devers;France;NA;NA;7            ;-;Français;NA;1;1;1
Chimères;6 juin 2017; 1h 19min ;Drame;Epouvante-horreur;NA;Olivier Beguin;NA;Jasna Kohoutova;Yannick Rosset;Catriona MacColl;NA;2,7;https://www.allocine.fr/film/fichefilm_gen_cfilm=224542.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=487303.html;Olivier Beguin;Suisse;NA;NA;0;-;Français;NA;NA;NA;0
China Doll;24 avril 2007; Drame, Romance, Guerre;Drame;Romance;Guerre;Frank Borzage;NA;Victor Mature;Ward Bond;Stuart Whitman;NA;3,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=37415.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=2336.html;NA;U.S.A.;NA;NA;0;-;-;NA;2;0;0
Contre-enquête;7 mars 2007; 1h 25min ;Policier;NA;NA;Franck Mancuso;NA;Jean Dujardin;Laurent Lucas;Aurélien Recoing;2,1;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=112382.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=100015.html;Franck Mancuso;France;NA;Pathé;1           ;7 600 000 €;Français;933 657 entrées;2;15;1
Contre-Enquête;11 juillet 1990; 2h 17min ;Thriller;NA;NA;Sidney Lumet;NA;G.W. Bailey;Nick Nolte;Timothy Hutton;NA;3,4;https://www.allocine.fr/film/fichefilm_gen_cfilm=33934.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3688.html;Sidney Lumet;U.S.A.;NA;Artistes Auteurs Associés (A.A.A.);1           ;-;Anglais;NA;3;0;1
Contre-enquête;24 juin 2021; 1h 30min ;Policier;NA;NA;Henri Helman;NA;Isabel Otéro;Linda Bouhenni;Hubert Saint-Macary;NA;3,2;https://www.allocine.fr/film/fichefilm_gen_cfilm=238341.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=86895.html;Véronique Lecharpy;France;NA;NA;0;-;Français;NA;1;0;0
Contre-jour;4 juillet 2012; 2h 07min ;Comédie dramatique;NA;NA;Carl Franklin;NA;Meryl Streep;William Hurt;Renée Zellweger;3,4;3,5;https://www.allocine.fr/film/fichefilm_gen_cfilm=1326.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=3804.html;Karen Croner;U.S.A.;NA;NA;2            ;30 000 000 $;Anglais;NA;2;22;4
Contrebande;16 mai 2012; 1h 51min ;Action;Drame;Thriller;Baltasar Kormákur;NA;Mark Wahlberg;Kate Beckinsale;Ben Foster;2,6;3,1;https://www.allocine.fr/film/fichefilm_gen_cfilm=188159.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=42146.html;Aaron Guzikowski;France;U.S.A.;Universal Pictures International France;1           ;25 000 000 $;Anglais;131 966 entrées;2;11;2
Contrechamps;27 juillet 2016; 1h 20min ;Divers;NA;NA;Mihai Grecu;Giacomo Abbruzzese;NA;NA;NA;NA;NA;https://www.allocine.fr/film/fichefilm_gen_cfilm=249091.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=513931.html;NA;NA;NA;Association Silhouette;0;-;-;NA;1;0;0
Contrecoups;18 mars 2022; 1h 32min ;Policier;Drame;Thriller;Charlie McDowell;NA;Jason Segel;Lily Collins;Jesse Plemons;NA;2,0;https://www.allocine.fr/film/fichefilm_gen_cfilm=294475.html;https://www.allocine.fr/personne/fichepersonne_gen_cpersonne=250462.html;Justin Lader;U.S.A.;NA;NA;0;-;Anglais;NA;0;3;2
